month,Incomplete RTT pathways_Median wait (weeks),Incomplete RTT pathways_92nd percentile (weeks),Incomplete RTT pathways_No. within 18 weeks,Incomplete RTT pathways_% within 18 weeks,Incomplete RTT pathways_No. > 18 weeks,Incomplete RTT pathways_No. > 52 weeks,Incomplete RTT pathways_% > 52 weeks,Incomplete RTT pathways_No. > 78 weeks,Incomplete RTT pathways_No. > 104 weeks,Incomplete RTT pathways_Total waiting (mil),Admitted (unadjusted) RTT pathways_Median wait (weeks),Admitted (unadjusted) RTT pathways_95th percentile (weeks),Admitted (unadjusted) RTT pathways_No. within 18 weeks,Admitted (unadjusted) RTT pathways_No. > 52 weeks,Admitted (unadjusted) RTT pathways_No. of pathways (all),NonAdmitted RTT pathways_Median wait (weeks),NonAdmitted RTT pathways_95th percentile (weeks),NonAdmitted RTT pathways_No. within 18 weeks,NonAdmitted RTT pathways_No. > 52 weeks,NonAdmitted RTT pathways_No. of pathways (all)
15-Jul,6,17.4,3027537,0.93,232507,786,0,,,3.26,9.2,25.8,280791,180,329048,5.4,18.3,906373,262,957260
15-Aug,6.5,17.6,3080794,0.93,246261,739,0,,,3.33,9.2,26.4,241656,201,284505,5.6,18.7,777815,199,823429
15-Sep,6.5,17.7,3058504,0.93,247388,756,0,,,3.31,9.8,27.1,265547,192,319678,6.1,19.5,893991,169,954036
15-Oct,6.2,17.8,3059956,0.92,253954,868,0,,,3.31,9.7,27.1,263475,268,317631,5.7,19.8,890021,352,952445
15-Nov,6.1,17.8,3055104,0.92,251406,835,0,,,3.31,9.4,27.3,260022,346,315252,5.7,20.2,894358,442,961821
15-Dec,6.7,18.2,3026929,0.92,268983,758,0,,,3.3,8.8,26.6,231392,215,276499,5.3,20,811149,261,869867
16-Jan,6.8,18,3027654,0.92,263446,728,0,,,3.29,10.2,28.2,238458,328,294532,6.3,20.9,850230,372,919231
16-Feb,5.9,17.9,3082332,0.92,263589,692,0,,,3.35,10.2,28.5,245560,302,304310,5.4,20.5,868738,433,937170
16-Mar,6.4,18.5,3205842,0.92,298753,871,0,,,3.5,9.3,28.4,244545,305,302982,5.3,20.5,879984,541,949840
16-Apr,6.6,18.5,3300705,0.92,302901,886,0,,,3.6,9.6,29.2,236115,320,297893,5.9,21.1,869205,504,944132
16-May,6.4,18.2,3359901,0.92,299306,1009,0,,,3.66,10,29.8,242810,362,302719,5.8,21.3,897361,616,969422
16-Jun,6.5,18.4,3320719,0.92,307175,942,0,,,3.63,9.8,30.2,253379,452,319870,5.9,21,935106,591,1015819
16-Jul,6.6,18.8,3344181,0.91,320504,1077,0,,,3.66,9.7,30.1,238850,494,303324,5.9,21.7,853297,589,934935
16-Aug,7,18.9,3355134,0.91,336470,1062,0,,,3.69,9.7,29.9,239004,533,302101,5.9,22.1,875130,1456,958983
16-Sep,6.9,19.1,3354034,0.91,348546,1185,0,,,3.7,10.5,30.9,242876,580,315355,6.5,22.6,910528,1230,1009191
16-Oct,6.5,19.3,3394756,0.9,360050,1428,0,,,3.75,10.3,31.4,240558,622,312640,6.2,23.3,908674,1751,1013311
16-Nov,6.5,19.3,3367511,0.91,353654,1234,0,,,3.72,10.1,31.2,259122,690,337542,6,23.4,983991,1849,1098028
16-Dec,7.2,20,3278063,0.9,376205,1227,0,,,3.65,9.3,30.7,217654,638,276739,5.6,22.9,809979,1480,896033
17-Jan,7.2,19.7,3252604,0.9,362731,1345,0,,,3.62,10.6,32.3,235955,773,308824,6.7,23.8,932861,1818,1040446
17-Feb,6.2,19.8,3296902,0.9,367097,1583,0,,,3.66,10.9,32.7,224974,931,298154,5.8,23.3,880694,949,979860
17-Mar,6.2,19.5,3372306,0.9,362527,1528,0,,,3.73,10.1,32.8,258332,970,342772,5.6,22.8,1005564,1073,1113270
17-Apr,6.8,20,3399969,0.9,382488,1568,0,,,3.78,9.7,32.7,201069,799,267398,5.6,22.7,810160,1160,895428
17-May,7.1,19.4,3445317,0.9,365722,1651,0,,,3.81,10.1,33,237633,1131,310147,6.1,23,970436,1684,1066156
17-Jun,6.6,19.5,3459659,0.9,373328,1542,0,,,3.83,10.3,33.2,237751,1103,312486,5.9,22.4,971963,968,1071856
17-Jul,6.6,19.8,3460415,0.9,390659,1642,0,,,3.85,9.8,33.3,227912,1056,299378,5.8,22.6,930938,1229,1032594
17-Aug,7.1,20.5,3474471,0.89,411748,1734,0,,,3.89,9.7,32.6,222954,1015,294326,5.8,23,924939,1109,1028474
17-Sep,7.2,20.3,3415529,0.89,417771,1778,0,,,3.83,10.4,33.1,217576,1061,290222,6.4,23.7,908818,834,1015252
17-Oct,6.7,20.3,3393766,0.89,406281,1519,0,,,3.8,10.4,33.3,234281,1107,312193,6,23.4,973422,879,1087855
17-Nov,6.6,20.2,3330962,0.9,391638,1449,0,,,3.72,10,33.3,238467,858,316437,5.9,23.7,989847,846,1110170
17-Dec,7.4,21.3,3321954,0.88,445372,1748,0,,,3.77,9.2,32.1,193089,547,250115,5.6,23.4,786006,622,875280
18-Jan,7.6,21.3,3289620,0.88,440853,1869,0,,,3.73,10.2,33.2,223360,740,294364,6.6,24.4,978058,792,1098573
18-Feb,6.6,21.4,3309184,0.88,454349,2235,0,,,3.76,10.6,34.1,204707,713,275294,5.6,24.1,862680,813,966604
18-Mar,6.9,21.9,3361133,0.87,491281,2756,0,,,3.85,9.6,34.4,210847,869,283332,5.4,23.8,889663,891,996080
18-Apr,6.9,22,3519434,0.88,500073,2880,0,,,4.02,10.1,35.8,205679,1188,285578,5.9,24.8,886504,1251,1004142
18-May,6.9,21.5,3604707,0.88,485230,3100,0,,,4.09,10,35.9,226925,1289,306502,5.7,24.8,978385,1233,1092817
18-Jun,7,21.5,3620601,0.88,501779,3516,0,,,4.12,10,36.2,222643,1349,302608,5.9,24.9,944380,1264,1061111
18-Jul,7,21.5,3630924,0.88,504337,3464,0,,,4.14,9.9,36.2,226895,1473,306985,5.8,24.5,966346,1228,1088288
18-Aug,7.5,22.1,3632958,0.87,530374,3405,0,,,4.16,9.7,36.2,217288,1360,290463,5.8,24.6,904059,1048,1015966
